"Country/Region",Total Cases,New Cases,Total Deaths,New Deaths,Total_Recovered,New Recovered,Active Cases,"Serious,Critical",Tot�Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Guinea-Bissau,9350.0,,176.0,,8929.0,,245.0,6,"4,531",85,"1,45,231","70,385","20,63,367"
Antigua and Barbuda,9106.0,,146.0,,8954.0,,6.0,1,"91,509","1,467","18,901","1,89,943","99,509"
Comoros,9105.0,,161.0,,8939.0,,5.0,,"10,034",177,,,"9,07,419"
Liberia,8090.0,,295.0,,7783.0,,12.0,2,"1,525",56,"1,39,824","26,356","53,05,117"
Sierra Leone,7762.0,,126.0,,7451.5199999999995,,,,934,15,"2,59,958","31,296","83,06,436"
Chad,7698.0,,194.0,,4874.0,,2630.0,,442,11,"1,91,341","10,988","1,74,13,580"
British Virgin Islands,7305.0,,64.0,,7012.8,,,,"2,38,757","2,092","1,07,339","35,08,269","30,596"
Cook Islands,7062.0,,2.0,,7059.0,,1.0,,"4,01,912",114,"19,690","11,20,596","17,571"
Saint Kitts and Nevis,6598.0,,48.0,,6550.0,,0.0,,"1,22,478",891,"1,26,939","23,56,351","53,871"
Sao Tome and Principe,6568.0,,80.0,,6482.0,,6.0,,"28,848",351,"29,036","1,27,530","2,27,679"
Turks and Caicos,6565.0,,38.0,,6509.0,,18.0,4,"1,65,195",956,"6,12,335","1,54,08,143","39,741"
Palau,5999.0,,9.0,,5990.0,,0.0,,"3,29,019",494,"69,574","38,15,828","18,233"
St. Barth,5485.0,,6.0,,5265.599999999999,,,,"5,51,533",603,"78,646","79,08,095","9,945"
Nauru,5393.0,,1.0,,5347.0,,45.0,,"4,94,635",92,"20,509","18,81,042","10,903"
Kiribati,5025.0,,24.0,,2703.0,,2298.0,3,"40,715",194,,,"1,23,419"
Anguilla,3904.0,,12.0,,3879.0,,13.0,4,"2,56,336",788,"51,382","33,73,736","15,230"
Macao,3520.0,,121.0,,3396.0,,3.0,,"5,273",181,"7,850","11,760","6,67,490"
Saint Pierre Miquelon,3452.0,,2.0,,2449.0,,1001.0,1,"5,99,410",347,"25,400","44,10,488","5,759"
Wallis and Futuna,3427.0,,7.0,,438.0,,2982.0,,"3,12,056",637,"20,508","18,67,419","10,982"
